Nom,Localisation,Type,Etat_poste,Nb_place,Heure_operation,Long,Lat,MTM8_X,MTM8_Y
"27-474","Chabanel O. / St-Urbain. Situé au nord-est de l'intersection sur Chabanel O.","Public","Poste public actif",4,"",-73.65204925767212,45.54302132777408,292926.4,5044800.9
"27-474","Chabanel O. / St-Urbain. Situé au nord-est de l'intersection sur Chabanel O.","Public","Poste public actif",4,"",-73.65204925767212,45.54302132777408,292926.4,5044800.9
"27-918","1000, ave. Émile-Journault / Complexe Sportif Claude-Robillard","Public","Poste public actif",3,"24h / 7 jours",-73.63824898783571,45.55387942251001,294006.1,5046005.6
"27-839","Au coin de l'avenue Émile-Journault et l'avenue Papineau. Situé au nord-ouest de l'intersection","Public","Poste public actif",2,"24h / 7J",-73.6338815696945,45.55948328876621,294348.1,5046627.8
"27-779","Au coin de la rue Fleury E et l'avenue Merritt (Hopital Fleury). Situé au sud-est de l'intersection","Public","Poste public actif",5,"24H / 7J",-73.65062817934569,45.571622684824966,293043.3,5047979.2
"27-743","Au coin de la rue Chabanel O et la rue Meilleur. Situé au sud-est de l'intersection","Public","Poste public actif",2,"24H / 7J",-73.65489980793456,45.53755981941242,292702.6,5044194.4
"27-475","Au coin de la rue Berri et la rue Sauvé E. Situé au nord-est de l'intersection","Public","Poste public actif",5,"24H / 7J",-73.65605163548025,45.55100085902197,292615.5,5045688.3
"27-211","Au coin de la rue Lajeunesse et le boul. Crémazie E. Situé au nord-ouest de l'intersection","Public","Poste public actif",3,"24H / 7J",-73.63830614092421,45.54646274748941,294000.2,5045181.4
"27-210","Au coin de l'avenue Henri-Julien et le boul. Cremazie E. Situé au nord-ouest de l'intersection","Public","Poste public actif",3,"24h / 7J",-73.6401085864054,45.544328807612175,293859.1,5044944.5
"10-92","Au coin de la rue De Louisbourg et le boul. Laurentien. Situé au sud-est de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.71119785315386,45.52457850011955,288302,5042761.8
"10-85","Au coin du boul. Henri-Bourassa O et l'avenue Bois-de-Boulogne. Situé au sud-est de l'intersection","Public","Poste public actif",8,"24H / 7J",-73.67798012858884,45.537951013712856,290900.2,5044241.6
"10-733","2820 de Salaberry. Centre Normandie, IGA (poste privé COOP de Montréal)","Privé","Poste prive actif",5,"24H / 7J",-73.69896770688479,45.53510784109334,289260.3,5043929.5
"27-720","Au coin du 10650 rue Lajeunesse et le boul. Henri-Bourassa E. Situé au sud-est de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.66808075899962,45.555247054393206,291677.3,5046162.1
"27-842","Au 1745 rue Fleury E. Poste privé de Taxi Coop. Épicerie Métro","Privé","Poste prive actif",7,"24H / 7J",-73.65547622408144,45.56678750240697,292663.9,5047442.6
"27-207","10639, Berri / boul. Henri-Bourassa E. Situé au sud-est de l'intersection","Public","Poste public actif",6,"24H / 7J",-73.66794861481937,45.55435863528944,291687.4,5046063.3
"10-89","Au 5400 boul. Gouin O (Hopital Sacré-Coeur).","En commun","Poste encommun temporaire",5,"24H / 7J",-73.71458759762265,45.53291000964234,288039.7,5043688.4
"27-840","Au 8305 avenue Papineau. Poste privé de Taxelco. Épicerie Maxi","Privé","Poste prive actif",4,"24H / 7J",-73.62087838332826,45.55551372790679,295362.6,5046185.1
"10-694","Au coin de la rue De Serres et la rue Grenet. Situé au sud-est de l'intersection","Public","Poste public actif",6,"24H / 7J",-73.7188496588351,45.531466718620905,287706.4,5043528.9
"27-838","Au 8935 avenue André-Grasset. Épicerie Métro André-Grasset.","En commun","Poste encommun actif",2,"24H / 7J",-73.63692809412056,45.558120342809254,294110.1,5046476.7
"46-901","6500, boul. Joseph-Renaud / Boul. Wilfrid Pelletier","Public","Poste public actif",3,"24H / 7J",-73.55186122030716,45.60515710287878,300754.6,5051696.2
"46-878","Au 7895 boul. Des Galeries-D'Anjou. Poste privé de Taxi Coop de l'Est. La Baie d'Hudson","Privé","Poste prive actif",2,"24H / 7J",-73.56745642142641,45.599468622269306,299537.6,5051065
"46-805","Au 7250 boul. Des Roseraies. Poste privé de Taxi Hochelaga. Épicerie Adonis","Privé","Poste prive actif",2,"24H / 7J",-73.55900916983643,45.599072690398565,300196.5,5051020.4
